"","Individual","WGS","chip","typed","imputed","match.t","match.i"
"213","HG00475","D","InfiniumOmniExpressExome-8v1-4_A1-b37","H2","H2",FALSE,FALSE
"214","HG00476","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"215","HG00478","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"216","HG00479","N","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",TRUE,TRUE
"217","HG00500","N","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",TRUE,TRUE
"218","HG00501","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"219","HG00513","L3","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",TRUE,TRUE
"220","HG00524","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"221","HG00525","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"222","HG00530","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"223","HG00531","N","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",TRUE,TRUE
"224","HG00533","B4b'd'e","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"225","HG00534","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"226","HG00536","L3","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",TRUE,TRUE
"227","HG00537","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"228","HG00542","B5","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"229","HG00543","B5","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"230","HG00551","A2","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"231","HG00553","A2","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"232","HG00554","L1b","InfiniumOmniExpressExome-8v1-4_A1-b37","L1b","L1b",TRUE,TRUE
"233","HG00556","N","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",TRUE,TRUE
"234","HG00557","N","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",TRUE,TRUE
"235","HG00559","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"236","HG00560","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"237","HG00565","A","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"238","HG00566","A","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"239","HG00580","D","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"240","HG00581","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"241","HG00583","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"242","HG00584","N","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",TRUE,TRUE
"243","HG00589","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"244","HG00590","C","InfiniumOmniExpressExome-8v1-4_A1-b37","C","C",TRUE,TRUE
"245","HG00592","N","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",TRUE,TRUE
"246","HG00593","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"247","HG00595","D","InfiniumOmniExpressExome-8v1-4_A1-b37","H2","H2",FALSE,FALSE
"248","HG00596","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"249","HG00598","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"250","HG00599","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"251","HG00607","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"252","HG00608","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"253","HG00610","B5","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"254","HG00611","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"255","HG00613","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"256","HG00614","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"257","HG00619","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"258","HG00620","N","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",TRUE,TRUE
"259","HG00622","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"260","HG00623","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"261","HG00625","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"262","HG00626","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"263","HG00628","D","InfiniumOmniExpressExome-8v1-4_A1-b37","H2","H2",FALSE,FALSE
"264","HG00629","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"265","HG00631","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"266","HG00632","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"267","HG00634","A","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"268","HG00635","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"269","HG00637","A2","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"270","HG00638","A2","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"271","HG00640","B2","InfiniumOmniExpressExome-8v1-4_A1-b37","B2","B2",TRUE,TRUE
"272","HG00641","C","InfiniumOmniExpressExome-8v1-4_A1-b37","C","C",TRUE,TRUE
"273","HG00650","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
