chip,A,A2,B2,B4b'd'e,B5,C,D,D1,D4,H,H2,H2a,H2a2a,HV,I,J,JT,K,K1,L0,L1,L1b,L2,L2'3'4'5'6,L3,L3'4,M,N,R,T,T1,U,U8b,unclassified,V,W,X2
HumanOmni2.5-4v1_D-b37,0.2,0.890756302521008,1,1,0.976744186046512,1,0.925925925925926,0,1,1,0,1,0,0.806451612903226,1,1,1,1,1,1,0.978260869565217,1,0.763392857142857,1,0.936395759717314,0.733333333333333,0.997518610421836,1,0.582644628099174,0.893617021276596,1,1,0,0,0,1,0
HumanOmni2.5-4v1_H-b37,0.2,0.890756302521008,1,1,0.976744186046512,1,0.925925925925926,0,1,1,0,1,0,0.806451612903226,1,1,1,1,1,1,0.978260869565217,1,0.763392857142857,1,0.936395759717314,0.733333333333333,0.997518610421836,1,0.582644628099174,0.893617021276596,1,1,0,0,0,1,0
HumanOmni2.5-8v1_A-b37,0.35,0.882352941176471,1,0.928571428571429,1,1,0.814814814814815,0,1,0.995670995670996,0,1,0,0.903225806451613,1,1,1,1,1,1,0.978260869565217,1,0.924107142857143,1,0.968197879858657,0.733333333333333,1,1,0.785123966942149,0.74468085106383,1,1,1,0,0.9375,0.96,0
HumanOmni2.5-8v1_C-b37,0.4,0.890756302521008,1,1,1,1,0.740740740740741,0,1,0.995670995670996,0,1,0,0.903225806451613,1,1,1,1,1,1,0.978260869565217,1,0.924107142857143,1,0.971731448763251,0.733333333333333,1,0.955555555555556,0.789256198347107,0.617021276595745,1,0.994475138121547,1,0,0.9375,0.96,0
HumanOmni2.5S-8v1_B-b37,0.05,0.966386554621849,0,0,0.953488372093023,0,0,0,0,0.714285714285714,0,1,0,0.161290322580645,1,0.51063829787234,0,0.857142857142857,0.962962962962963,1,0.956521739130435,0.961538461538462,0.977678571428571,0,0.374558303886926,0,0.995037220843672,0,0.0826446280991736,0.978723404255319,0.5,0.430939226519337,0,0,1,0,0
HumanOmni25-8v1-1_A-b37,0.2,0.873949579831933,1,1,0.953488372093023,1,0.777777777777778,0,1,0.995670995670996,0,1,0,0.806451612903226,1,1,1,1,1,1,0.978260869565217,1,0.928571428571429,1,0.943462897526502,0.733333333333333,1,1,0.78099173553719,0.936170212765957,1,1,1,0,0.9375,1,0
HumanOmni25-8v1-2_A1-b37,0.6,0.0672268907563025,1,1,0,1,0.962962962962963,0,1,0.995670995670996,0,1,0,0,0,1,0,0,1,1,0.978260869565217,1,0.955357142857143,0.555555555555556,0.911660777385159,0.733333333333333,1,0.8,0.942148760330578,0.957446808510638,0.25,1,1,0,0.9375,0,0
HumanOmni25Exome-8v1_A-b37,0.2,0.873949579831933,1,1,0.976744186046512,1,0.703703703703704,0,1,1,0,1,1,0.645161290322581,1,0.978723404255319,1,1,1,1,0.978260869565217,1,0.986607142857143,1,0.992932862190813,1,1,0.933333333333333,0.822314049586777,0.893617021276596,1,1,1,0,0.9375,1,0
humanomni25m-8v1-1_b-b37,0.2,0.882352941176471,1,0.928571428571429,0.953488372093023,1,0.777777777777778,0,1,0.991341991341991,0,1,0,0.838709677419355,1,1,1,1,1,1,0.978260869565217,1,0.924107142857143,1,0.946996466431095,0.733333333333333,1,1,0.785123966942149,0.936170212765957,1,1,1,0,0.9375,1,0
HumanOmni5-4-v1-0-D-b37,0.45,0.899159663865546,1,1,1,1,0.777777777777778,0.130434782608696,0.961038961038961,0.991341991341991,1,1,0,0.838709677419355,1,1,1,1,1,1,0.978260869565217,1,0.995535714285714,1,0.989399293286219,0.8,1,1,0.739669421487603,0.893617021276596,1,1,1,0,0.9375,1,0
