sample,wgs,wgs_meta,typed,imputed,typed_meta,imputed_meta,typed_match,typed_meta_match,imputed_match,imputed_meta_match
ADNI_0869,T,T,T,T,T,T,TRUE,TRUE,TRUE,TRUE
ADNI_0872,U,U,U,U,U,U,TRUE,TRUE,TRUE,TRUE
ADNI_0873,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0878,B4b'd'e,B,B4b'd'e,B4b'd'e,B,B,TRUE,TRUE,TRUE,TRUE
ADNI_0886,K,K,K,K,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_0887,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0896,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0906,N1a1,N,L3'4,N1a1,L3,N,FALSE,FALSE,TRUE,TRUE
ADNI_0914,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0915,X2,X,N,X2,N,X,FALSE,FALSE,TRUE,TRUE
ADNI_0919,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0920,T,T,T,T,T,T,TRUE,TRUE,TRUE,TRUE
ADNI_0922,U,U,U,U,U,U,TRUE,TRUE,TRUE,TRUE
ADNI_0923,U,U,U,U,U,U,TRUE,TRUE,TRUE,TRUE
ADNI_0926,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0934,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0945,J,J,L3'4,J,L3,J,FALSE,FALSE,TRUE,TRUE
ADNI_0951,K1,K,K1,K1,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_0952,U,U,U,U,U,U,TRUE,TRUE,TRUE,TRUE
ADNI_0972,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0973,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0978,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0984,V,V,R,V,R,V,FALSE,FALSE,TRUE,TRUE
ADNI_0985,J,J,L3'4,J,L3,J,FALSE,FALSE,TRUE,TRUE
ADNI_0989,V,V,R,V,R,V,FALSE,FALSE,TRUE,TRUE
ADNI_0994,J,J,L3'4,J,L3,J,FALSE,FALSE,TRUE,TRUE
ADNI_0997,K,K,K,K,K,K,TRUE,TRUE,TRUE,TRUE
