array,MAF,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
Consortium-OncoArray_15047405_A-b37,0.05,TRUE,0.661380198019802,374,53,78,505,392,0.589976322020521,0.94475138121547
NeuroX_15036164_A-b37,0.05,TRUE,0.728833333333333,358,69,143,570,477,0.503157063930545,0.871744277821626
Mapping250K_Nsp.na32.annot-b37,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Mapping250K_Sty.na32.annot-b37,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
GenomeWideSNP_6.na33.annot-b37,0.05,TRUE,0.76334022556391,315,112,105,532,462,0.619573796369376,0.962115232833465
NA,0.05,TRUE,0.776075445816187,427,263,39,729,676,0.980662983425414,0.988950276243094
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,TRUE,0.678647058823529,548,142,24,714,583,0.528413575374901,0.981452249408051
NA,0.05,TRUE,0.651535211267606,556,134,20,710,563,0.524072612470402,0.982241515390687
NA,0.05,TRUE,0.651254929577465,556,134,20,710,563,0.524072612470402,0.983030781373323
NA,0.05,TRUE,0.629597439544808,582,108,13,703,539,0.389108129439621,0.947119179163378
NA,0.05,TRUE,0.629583214793741,582,108,13,703,539,0.389108129439621,0.94672454617206
NA,0.05,TRUE,0.651392957746479,556,134,20,710,561,0.524072612470402,0.982636148382005
NA,0.05,TRUE,0.629937588652482,584,106,15,705,541,0.389108129439621,0.94672454617206
NA,0.05,TRUE,0.630445390070922,584,106,15,705,540,0.389108129439621,0.947119179163378
NA,0.05,TRUE,0.630029787234043,584,106,15,705,539,0.389108129439621,0.947513812154696
NA,0.05,TRUE,0.630578723404255,584,106,15,705,540,0.389108129439621,0.94672454617206
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,TRUE,0.677968866749689,582,108,113,803,638,0.490923441199684,0.912786108918706
NA,0.05,TRUE,0.677814445828144,582,108,113,803,638,0.490923441199684,0.913575374901342
NA,0.05,TRUE,0.677849315068493,582,108,113,803,639,0.490923441199684,0.912786108918706
NA,0.05,TRUE,0.645724310776942,587,103,108,798,606,0.490923441199684,0.859905288082084
NA,0.05,TRUE,0.645730576441103,587,103,108,798,606,0.490923441199684,0.859510655090766
NA,0.05,TRUE,0.658837939698492,585,105,106,796,620,0.503157063930545,0.885951065509077
NA,0.05,TRUE,0.659133165829146,585,105,106,796,620,0.503157063930545,0.88516179952644
NA,0.05,TRUE,0.659324120603015,585,105,106,796,620,0.503157063930545,0.885556432517759
NA,0.05,TRUE,0.64849436795995,588,102,109,799,614,0.402920284135754,0.872533543804262
NA,0.05,TRUE,0.63805527638191,591,99,106,796,603,0.390686661404893,0.883583267561168
NA,0.05,TRUE,0.792555816686251,496,194,161,851,782,0.589187056037885,0.929360694554065
NA,0.05,TRUE,0.779496470588235,499,191,160,850,764,0.589187056037885,0.930544593528019
NA,0.05,TRUE,0.768555952380952,516,174,150,840,741,0.471586424625099,0.928966061562747
NA,0.05,TRUE,0.789381176470588,499,191,160,850,773,0.524467245461721,0.940015785319653
NA,0.05,TRUE,0.374605121293801,625,65,52,742,336,0.0497237569060773,0.511444356748224
NA,0.05,TRUE,0.331914864864865,628,62,50,740,286,0.0686661404893449,0.748618784530387
NA,0.05,TRUE,0.306181571815718,638,52,48,738,271,0.0686661404893449,0.742699289660616
NA,0.05,TRUE,0.292706359945873,640,50,49,739,254,0.0686661404893449,0.742304656669298
NA,0.05,TRUE,0.292702300405954,640,50,49,739,254,0.0686661404893449,0.742304656669298
NA,0.05,TRUE,0.651761971830986,556,134,20,710,563,0.524072612470402,0.982636148382005
NA,0.05,TRUE,0.629668563300142,582,108,13,703,537,0.389108129439621,0.947119179163378
NA,0.05,TRUE,0.62978093883357,582,108,13,703,538,0.389108129439621,0.94672454617206
NA,0.05,TRUE,0.629607396870555,582,108,13,703,538,0.389108129439621,0.94672454617206
NA,0.05,TRUE,0.28057492795389,670,20,4,694,236,0.12904498816101,0.524072612470402
NA,0.05,TRUE,0.280468299711816,670,20,4,694,236,0.12904498816101,0.524467245461721
NA,0.05,TRUE,0.280525936599424,670,20,4,694,236,0.12904498816101,0.524467245461721
NA,0.05,TRUE,0.280710374639769,670,20,4,694,236,0.12904498816101,0.524072612470402
NA,0.05,TRUE,0.571949928469242,615,75,9,699,504,0.36266771902131,0.910418310970797
NA,0.05,TRUE,0.630056737588652,584,106,15,705,540,0.389108129439621,0.947119179163378
NA,0.05,TRUE,0.571742489270386,615,75,9,699,501,0.36266771902131,0.909234411996843
NA,0.05,TRUE,0.571965665236052,615,75,9,699,502,0.36266771902131,0.910023677979479
NA,0.05,TRUE,0.571805436337625,615,75,9,699,502,0.36266771902131,0.909234411996843
